epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1712,0.71677,1.62822,2.00627,0.01003,1.78089,0.88762,0.90895,0.95544,0.83319,0.87596,0.90707,0.96143,0.85965,0.61878,0.72948,0.81871,0.01965,0,0.00055347,0.00055347,0.00055347
2,166.584,0.53594,0.62326,0.71361,0.00718,0.16386,0.95605,0.92097,0.98078,0.93585,0.9571,0.92338,0.98175,0.92413,0.34342,0.35403,0.36341,0.00992,0,0.00108718,0.00108718,0.00108718
3,236.46,0.51613,0.55463,0.48738,0.00686,0.13065,0.97082,0.95722,0.98813,0.93405,0.97767,0.96414,0.99301,0.9279,0.42985,0.32786,0.28342,0.0127,0,0.00159888,0.00159888,0.00159888
4,305.255,0.46972,0.48585,0.38823,0.00611,0.1185,0.96673,0.93313,0.9916,0.976,0.96736,0.93448,0.99199,0.93702,0.26378,0.29339,0.20283,0.00797,0,0.00156798,0.00156798,0.00156798
5,374.374,0.45132,0.44729,0.34198,0.00594,0.1058,0.94807,0.95629,0.98265,0.9544,0.96547,0.97504,0.9899,0.9377,0.3122,0.38787,0.26651,0.01027,0,0.00153497,0.00153497,0.00153497
6,443.349,0.41608,0.41111,0.30785,0.00531,0.0923,0.97467,0.98034,0.99314,0.98484,0.97726,0.98285,0.99371,0.96603,0.24604,0.25682,0.16665,0.00748,0,0.00150197,0.00150197,0.00150197
7,512.575,0.38361,0.37659,0.2681,0.00483,0.08937,0.9688,0.96832,0.9836,0.96203,0.9867,0.98874,0.9942,0.96099,0.287,0.40412,0.21516,0.0074,0,0.00146896,0.00146896,0.00146896
8,581.637,0.36273,0.35145,0.25287,0.00455,0.08447,0.97185,0.91731,0.98538,0.97449,0.98816,0.93313,0.99259,0.96466,0.21941,0.27028,0.20716,0.00646,0,0.00143595,0.00143595,0.00143595
9,649.956,0.36172,0.33911,0.23931,0.00453,0.08031,0.98401,0.98599,0.99409,0.98775,0.98459,0.98716,0.99422,0.97021,0.2167,0.17072,0.14498,0.00692,0,0.00140295,0.00140295,0.00140295
10,718.413,0.34359,0.33497,0.22237,0.00425,0.07735,0.99666,0.99026,0.99485,0.97951,0.99724,0.99084,0.99493,0.95785,0.238,0.17824,0.11189,0.00642,0,0.00136994,0.00136994,0.00136994
11,787.179,0.33651,0.33634,0.22142,0.00409,0.07906,0.98599,0.98266,0.99406,0.98115,0.99756,0.99521,0.99499,0.97882,0.23468,0.18361,0.133,0.00691,0,0.00133693,0.00133693,0.00133693
12,856.19,0.31985,0.31278,0.20511,0.00392,0.07033,0.99549,0.9902,0.9948,0.98691,0.99608,0.99078,0.99486,0.97939,0.17859,0.17301,0.11216,0.00499,0,0.00130393,0.00130393,0.00130393
13,925.231,0.30918,0.30078,0.19374,0.00377,0.06965,0.99419,0.99359,0.99484,0.99181,0.99419,0.99359,0.99484,0.9828,0.14903,0.15524,0.08822,0.00445,0,0.00127092,0.00127092,0.00127092
14,994.384,0.30538,0.29987,0.19272,0.0037,0.06981,0.99494,0.99118,0.99487,0.99052,0.99657,0.99264,0.99499,0.98827,0.20987,0.15469,0.09885,0.00642,0,0.00123791,0.00123791,0.00123791
15,1062.96,0.29425,0.29277,0.18482,0.00353,0.06576,0.98152,0.96945,0.99237,0.99105,0.99518,0.98273,0.99486,0.97942,0.1606,0.25076,0.14395,0.00433,0,0.00120491,0.00120491,0.00120491
16,1132.06,0.28296,0.28294,0.17849,0.00345,0.06451,0.99211,0.99648,0.99491,0.99385,0.99297,0.99735,0.99491,0.96963,0.18793,0.15725,0.09471,0.00501,0,0.0011719,0.0011719,0.0011719
17,1200.77,0.2797,0.27261,0.17628,0.00334,0.06507,0.99192,0.96614,0.99051,0.98829,0.98601,0.99568,0.99444,0.97793,0.16346,0.27138,0.12597,0.00506,0,0.00113889,0.00113889,0.00113889
18,1268.96,0.27377,0.26504,0.17,0.00334,0.06376,0.99902,0.9918,0.99495,0.99469,0.99902,0.9918,0.99495,0.9858,0.14195,0.10834,0.06964,0.00431,0,0.00110589,0.00110589,0.00110589
19,1337.76,0.28043,0.27617,0.17139,0.00334,0.0735,0.98838,0.9685,0.99328,0.99277,0.97205,0.99596,0.99407,0.97657,0.13097,0.15229,0.11696,0.00355,0,0.00107288,0.00107288,0.00107288
20,1406.61,0.26733,0.2674,0.16597,0.00314,0.05955,0.99588,0.99856,0.99496,0.99402,0.99617,0.99885,0.99497,0.97403,0.12697,0.12832,0.0622,0.00352,0,0.00103987,0.00103987,0.00103987
21,1475.56,0.26213,0.26392,0.16124,0.00309,0.06394,0.97801,0.98924,0.99387,0.99336,0.97865,0.98857,0.99389,0.97506,0.12868,0.12416,0.09762,0.00319,0,0.00100687,0.00100687,0.00100687
22,1544.31,0.25274,0.25009,0.1535,0.00295,0.06144,0.9917,0.99077,0.99458,0.99366,0.99309,0.99206,0.9948,0.98126,0.13057,0.12938,0.08728,0.00338,0,0.000973861,0.000973861,0.000973861
23,1612.95,0.24786,0.24322,0.14938,0.00294,0.05883,0.98694,0.98701,0.99232,0.9909,0.99921,0.99928,0.995,0.97894,0.14851,0.16637,0.13664,0.00392,0,0.000940855,0.000940855,0.000940855
24,1681.73,0.23875,0.24053,0.14504,0.0028,0.05943,0.99673,0.99293,0.99494,0.99486,0.99673,0.99293,0.99494,0.97492,0.09853,0.10197,0.0734,0.00255,0,0.000907848,0.000907848,0.000907848
25,1750.7,0.24218,0.24095,0.14429,0.00281,0.06092,0.99521,0.99766,0.99499,0.99491,0.99521,0.99766,0.99499,0.99107,0.12033,0.10597,0.05654,0.00316,0,0.000874842,0.000874842,0.000874842
26,1819.62,0.22919,0.22733,0.1364,0.00261,0.05254,0.99243,0.97532,0.99468,0.9938,0.99283,0.97653,0.99472,0.9764,0.11238,0.13454,0.07987,0.00308,0,0.000841835,0.000841835,0.000841835
27,1888.71,0.22934,0.22644,0.13728,0.00262,0.05666,0.98805,0.98942,0.99456,0.99382,0.99108,0.99255,0.99486,0.97956,0.15254,0.14163,0.09711,0.00432,0,0.000808828,0.000808828,0.000808828
28,1957.85,0.22148,0.2242,0.13134,0.00255,0.05061,0.99784,0.98205,0.99486,0.99453,0.99784,0.98205,0.99486,0.9847,0.10522,0.11545,0.07994,0.00297,0,0.000775822,0.000775822,0.000775822
29,2026.03,0.21454,0.21549,0.12682,0.00243,0.05035,0.98122,0.98081,0.9929,0.99217,0.99885,0.99841,0.995,0.97831,0.13226,0.12593,0.13398,0.00333,0,0.000742815,0.000742815,0.000742815
30,2094.61,0.20818,0.2083,0.12298,0.00236,0.04969,0.99376,0.99625,0.99498,0.99495,0.99376,0.99625,0.99498,0.97692,0.10509,0.10124,0.0639,0.00295,0,0.000709809,0.000709809,0.000709809
31,2163.45,0.20557,0.20548,0.1229,0.00227,0.05051,0.99196,0.97953,0.99433,0.99414,0.99435,0.98184,0.99481,0.98446,0.10491,0.1238,0.09242,0.00281,0,0.000676802,0.000676802,0.000676802
32,2232.67,0.20319,0.20582,0.12072,0.00229,0.05068,0.99245,0.99815,0.99498,0.99491,0.99245,0.99815,0.99498,0.98149,0.08091,0.08881,0.05543,0.0022,0,0.000643795,0.000643795,0.000643795
33,2301.7,0.19602,0.20002,0.11667,0.00221,0.05109,0.9915,0.99257,0.99497,0.99492,0.9915,0.99257,0.99497,0.97776,0.0872,0.09236,0.07,0.00221,0,0.000610789,0.000610789,0.000610789
34,2370.8,0.20005,0.20425,0.11805,0.00223,0.04926,0.99755,0.99713,0.995,0.99486,0.99755,0.99713,0.995,0.98358,0.08916,0.09066,0.05254,0.00241,0,0.000577782,0.000577782,0.000577782
35,2439.67,0.18742,0.1946,0.10965,0.00204,0.04685,0.99554,0.99682,0.99497,0.99484,0.99554,0.99682,0.99497,0.98457,0.08732,0.09042,0.05521,0.00233,0,0.000544776,0.000544776,0.000544776
36,2508.33,0.18215,0.19249,0.10968,0.00197,0.04485,0.99832,0.99394,0.99497,0.99494,0.99832,0.99394,0.99497,0.97402,0.07928,0.08905,0.04678,0.00193,0,0.000511769,0.000511769,0.000511769
37,2577.33,0.18077,0.19029,0.10724,0.00196,0.04574,0.99906,0.99713,0.995,0.99491,0.99906,0.99713,0.995,0.98799,0.0657,0.08382,0.03777,0.00161,0,0.000478762,0.000478762,0.000478762
38,2646.48,0.17686,0.18601,0.10586,0.00192,0.04623,0.99824,0.99726,0.99499,0.99494,0.99824,0.99726,0.99499,0.98089,0.06738,0.08276,0.04461,0.00168,0,0.000445756,0.000445756,0.000445756
39,2715.05,0.17371,0.18195,0.10409,0.00193,0.04555,0.99974,0.99639,0.995,0.99484,0.99974,0.99639,0.995,0.98641,0.07342,0.08594,0.03917,0.00196,0,0.000412749,0.000412749,0.000412749
